Row Labels,stop_name,artist,title,artDate
40090,Damen-Brown,,,
40090,"""http://www.transitchicago.com/assets/1/public_art/montrose-brown-1.jpg"" ",Ron Baron,American Tourister,2008
40190,Sox-35th,,,
40190,"""http://www.transitchicago.com/assets/1/public_art/47th-1.jpg"" ",Cody Hudson,Magic Numbers,2006
40190,"""http://www.transitchicago.com/assets/1/public_art/sox-35th-1.jpg"" ",Cody Hudson,Magic Numbers,2006
40210,Damen-Cermak,,,
40210,"""http://www.transitchicago.com/assets/1/public_art/18th-1.jpg"" ",Juan Angel Chavez,Vida Simple,2004
40210,"""http://www.transitchicago.com/assets/1/public_art/damen-pink-1.jpg"" ",Juan Angel Chavez,Vida Simple,2004
40230,Cumberland,,,
40230,"""http://www.transitchicago.com/assets/1/public_art/cumberland-2.jpg"" ",Charles Ross,Rock Bow,1983
40230,"""http://www.transitchicago.com/assets/1/public_art/harlem-blue-1.jpg"" ",Charles Ross,Rock Bow,1983
40240,79th,,,
40240,"""http://www.transitchicago.com/assets/1/public_art/79th-2.jpg"" ",Stephen Marc,South Side Weave,2007
40240,"""http://www.transitchicago.com/assets/1/public_art/87th-1.jpg"" ",Stephen Marc,South Side Weave,2007
40360,Southport,,,
40360,"""http://www.transitchicago.com/assets/1/public_art/belmont-brown-3.jpg"" ",Elizabeth Fraiberg,Green (North Wall) and Yellow (South Wall),2009
40360,"""http://www.transitchicago.com/assets/1/public_art/southport-2.jpg"" ",Elizabeth Fraiberg,Green (North Wall) and Yellow (South Wall),2009
40440,California-Cermak,,,
40440,"""http://www.transitchicago.com/assets/1/public_art/california-pink-2.jpg"" ",Christopher Tavares Silva,Amor,2004
40440,"""http://www.transitchicago.com/assets/1/public_art/western-pink-1.jpg"" ",Christopher Tavares Silva,Amor,2004
40460,Merchandise Mart,,,
40460,"""http://www.transitchicago.com/assets/1/public_art/howard-1.jpg"" ",Columbia College Photography Department,In Transit Gallery,2001
40580,54th/Cermak,,,
40580,"""http://www.transitchicago.com/assets/1/public_art/kostne-1.jpg"" ",Nicole Gordon,54th/Cermak Station,2004
40600,Kostner,,,
40600,"""http://www.transitchicago.com/assets/1/public_art/kostner-2.jpg"" ",Beatrice Coron,Seeds of the Future Planted Today,2004
40600,"""http://www.transitchicago.com/assets/1/public_art/pulaski-pink-1.jpg"" ",Beatrice Coron,Seeds of the Future Planted Today,2004
40660,Armitage,,,
40660,"""http://www.transitchicago.com/assets/1/public_art/sedgwick-1.jpg"" ",Jon Gitelson,Chicago El Stories,2008
40710,Chicago-Brown,,,
40710,"""http://www.transitchicago.com/assets/1/public_art/merchandise-mart-1.jpg"" ",B.J. Krivanek and Joel Breaux,Reflections Expressions Transformations,2009
40740,Western-Cermak,,,
40740,"""http://www.transitchicago.com/assets/1/public_art/damen-pink-2.jpg"" ",Hector Duarte,Ice Cream Dream,2004
40740,"""http://www.transitchicago.com/assets/1/public_art/western-pink-2.jpg"" ",Hector Duarte,Ice Cream Dream,2004
40750,Harlem-O'Hare,,,
40750,"""http://www.transitchicago.com/assets/1/public_art/harlem-blue-2.jpg"" ",Alex Katz,"Harlem Station, 1984",1985
40750,"""http://www.transitchicago.com/assets/1/public_art/pulaski-orange-1.jpg"" ",Alex Katz,"Harlem Station, 1984",1985
40780,Central Park,,,
40780,"""http://www.transitchicago.com/assets/1/public_art/kedzie-pink-1.jpg"" ",Olivia Gude,Cannas and Corn: A Community Garden,2004
40800,Sedgwick,,,
40800,"""http://www.transitchicago.com/assets/1/public_art/chicago-brown-1.jpg"" ",Carlos Dzine Rolon,Time is the Enemy (Revisited),2009
40830,18th,,,
40830,"""http://www.transitchicago.com/assets/1/public_art/cumberland-1.jpg"" ",Francisco Mendoza; Gallery 37 students and the Mexican Museum of National Art,Untitled,1998
40870,Francisco,,,
40870,"""http://www.transitchicago.com/assets/1/public_art/rockwell-1.jpg"" ",Ellen Harvey,Carpet,2007
40900,Howard,,,
40900,"""http://www.transitchicago.com/assets/1/public_art/howard-2.jpg"" ",Carla Arocha and Stephane Schraenen,24/7,2009
40900,"""http://www.transitchicago.com/assets/1/public_art/howard-3.jpg"" ",Carla Arocha and Stephane Schraenen,24/7,2009
40900,"""http://www.transitchicago.com/assets/1/public_art/roosevelt-1.jpg"" ",Carla Arocha and Stephane Schraenen,24/7,2009
40910,63rd,,,
40910,"""http://www.transitchicago.com/assets/1/public_art/69th-1.jpg"" ",Sabina Ott,A Red Line and a Cloud,2007
40920,Pulaski-Forest Park,,,
40920,"""http://www.transitchicago.com/assets/1/public_art/central-park-1.jpg"" ",Adam Brooks,Pulaski Station,2004
40960,Pulaski-Orange,,,
40960,"""http://www.transitchicago.com/assets/1/public_art/conservatory-1.jpg"" ","Hector Duarte, Gallery 37 and Curie High School students",Untitled,1998
40960,"""http://www.transitchicago.com/assets/1/public_art/pulaski-orange-2.jpg"" ","Hector Duarte, Gallery 37 and Curie High School students",Untitled,1998
40990,69th,,,
40990,"""http://www.transitchicago.com/assets/1/public_art/69th-2.jpg"" ",Preston Jackson,A Need to Remember,2007
40990,"""http://www.transitchicago.com/assets/1/public_art/79th-1.jpg"" ",Preston Jackson,A Need to Remember,2007
41010,Rockwell,,,
41010,"""http://www.transitchicago.com/assets/1/public_art/western-brown-1.jpg"" ",Thomas Skomski and Miklos Simon,Hidden Movers,2007
41040,Kedzie-Cermak,,,
41040,"""http://www.transitchicago.com/assets/1/public_art/california-pink-1.jpg"" ",John Himmelfarb,Coast of Chicago,2004
41170,Garfield-Red,,,
41170,"""http://www.transitchicago.com/assets/1/public_art/63rd-1.jpg"" ",Bernard Williams,Nexus Orbs,2007
41180,Kedzie-Brown,,,
41180,"""http://www.transitchicago.com/assets/1/public_art/francisco-1.jpg"" ",Anne Marie Karlsen,Round and Round,2007
41210,Wellington,,,
41210,"""http://www.transitchicago.com/assets/1/public_art/fullerton-1.jpg"" ",Martin Donlin,Transience,2009
41210,"""http://www.transitchicago.com/assets/1/public_art/wellington-2.jpg"" ",Martin Donlin,Transience,2009
41220,Fullerton,,,
41220,"""http://www.transitchicago.com/assets/1/public_art/armitage-1.jpg"" ",Derick Malkemus,Landslide,2009
41220,"""http://www.transitchicago.com/assets/1/public_art/fullerton-2.jpg"" ",Derick Malkemus,Landslide,2009
41220,"""http://www.transitchicago.com/assets/1/public_art/fullerton-3.jpg"" ",Derick Malkemus,Landslide,2009
41230,47th-Red,,,
41230,"""http://www.transitchicago.com/assets/1/public_art/47th-2.jpg"" ",Jo Hormuth,Canopy Lights,2007
41230,"""http://www.transitchicago.com/assets/1/public_art/garfield-1.jpg"" ",Jo Hormuth,Canopy Lights,2007
41290,Kimball,,,
41290,"""http://www.transitchicago.com/assets/1/public_art/kedzie_vertglassart.jpg"" ",Josh Garber,Hope and Renewal,2007
41310,Paulina,,,
41310,"""http://www.transitchicago.com/assets/1/public_art/paulina-2.jpg"" ",Barbara Cooper,Transitions,2009
41310,"""http://www.transitchicago.com/assets/1/public_art/paulina-3.jpg"" ",Barbara Cooper,Transitions,2009
41310,"""http://www.transitchicago.com/assets/1/public_art/southport-1.jpg"" ",Barbara Cooper,Transitions,2009
41320,Belmont,,,
41320,"""http://www.transitchicago.com/assets/1/public_art/belmont-brown-1.jpg"" ",Jerald Jacquard,Space Junction of Energ,1970
41320,"""http://www.transitchicago.com/assets/1/public_art/belmont-brown-2.jpg"" ",Jerald Jacquard,Space Junction of Energ,1970
41320,"""http://www.transitchicago.com/assets/1/public_art/wellington-1.jpg"" ",Jerald Jacquard,Space Junction of Energ,1970
41400,Roosevelt,,,
41400,"""http://www.transitchicago.com/assets/1/public_art/sox-35th-2.jpg"" ",Juan Angel Chavez and Corinne Peterson,Hopes and Dreams,2002
41430,87th,,,
41430,"""http://www.transitchicago.com/assets/1/public_art/54th-cermak-1.jpg"" ",Jeff Zimmerman,The Shore,2007
41430,"""http://www.transitchicago.com/assets/1/public_art/87th-2.jpg"" ",Jeff Zimmerman,The Shore,2007
41440,Addison-Brown,,,
41440,"""http://www.transitchicago.com/assets/1/public_art/paulina-1.jpg"" ",Gregory Gomez,The Encrypted Inning,2007
41460,Irving Park-Brown,,,
41460,"""http://www.transitchicago.com/assets/1/public_art/addison-brown-1.jpg"" ","Juan Carlos Macias
Commonplaces",Commonplaces,2008
41480,Western-Brown,,,
41480,"""http://www.transitchicago.com/assets/1/public_art/damen-brown-1.jpg"" ",Ellen Rothenberg,Camouflage Screen,2007
41500,Montrose-Brown,,,
41500,"""http://www.transitchicago.com/assets/1/public_art/irving-park-brown-1.jpg"" ",Jason Pickleman,MONT/ROSE: AREA,2007
41670,Conservatory,,,
41670,"""http://www.transitchicago.com/assets/1/public_art/conservatory-2.jpg"" ",Carolyn Elaine 2002 and 2003; Salim Hurtado and Michael Cloud 2001; Nina Smoot-Cain 2004,Garfield Park Conservatory Mosaics,2001-2004
41670,"""http://www.transitchicago.com/assets/1/public_art/conservatory-3.jpg"" ",Carolyn Elaine 2002 and 2003; Salim Hurtado and Michael Cloud 2001; Nina Smoot-Cain 2004,Garfield Park Conservatory Mosaics,2001-2004
Grand Total,,,,
