stop_name	imgURL	station_id	longitude	latitude	artist	title	media	artDate	Description	agency
Kimball	"""http://www.transitchicago.com/assets/1/public_art/kedzie_vertglassart.jpg"" "	41290	-87.713065	41.967901	Josh Garber	Hope and Renewal	Powder-coated aluminum	2007	"Resembling architectural columns, this pair of sculptures depicts the lotus blossom, a universal symbol of hope and rebirth. Metaphorically, the flower-forms symbolize the aspirations of the Albany Park community, which is among the most diverse in Chicago. Artist Josh Garber hand-crafted these sculptures of thousands of aluminum bars and molded each petal of the lotus blossom to function as seating."	
Kedzie-Brown	"""http://www.transitchicago.com/assets/1/public_art/francisco-1.jpg"" "	41180	-87.708821	41.965996	Anne Marie Karlsen	Round and Round	Art glass	2007	"Round and Round celebrates the historic and ongoing connection between the Kedzie station and the community. Anne Marie Karlsen achieved the kaleidoscopic motif by layering graphic imagery with color via photomontage. From a distance, the pattern of circles and semi-circles suggests the motion of train wheels, but a close look reveals images from historic photographs of train cars, the Kedzie station and the surrounding neighborhood."	
Francisco	"""http://www.transitchicago.com/assets/1/public_art/rockwell-1.jpg"" "	40870	-87.701644	41.966046	Ellen Harvey	Carpet	Mosaic of hand-cut marble	2007	"Artist Ellen Harvey’s mosaic transforms an ordinary pathway into the image of an oriental carpet, a symbol of artistic and cultural exchange befitting the culturally diverse community surrounding the Francisco station. Just as a welcome mat serves as the transition between outdoors and indoors, the mosaic carpet symbolically links the station with the residential community, marking the transition between public and private spaces utilized by CTA riders"	
Rockwell	"""http://www.transitchicago.com/assets/1/public_art/western-brown-1.jpg"" "	41010	-87.6941	41.966115	Thomas Skomski and Miklos Simon	Hidden Movers	Mixed Media	2007	"This composition of industrial and natural materials symbolizes the delicate relationship between nature and humankind. Photographs of swiftly-flowing water reference the nearby Chicago River, and are suspended within glass and a structure of charred wood symbolizing the Great Chicago Fire of 1871. As the luminous images appear in perpetual motion and the burned wood speaks of disaster, we are reminded of the impermanence of nature, while the steel framework and bolt system indicate man’s ability to rebuild that which has been destroyed. The artists were inspired by the efforts of Friends of the Chicago River, an organization dedicated to restoring the fragile eco-system of the Chicago River.  "	
Western-Brown	"""http://www.transitchicago.com/assets/1/public_art/damen-brown-1.jpg"" "	41480	-87.688502	41.966163	Ellen Rothenberg	Camouflage Screen	Art glass with ceramic melting color	2007	"Ellen Rothenberg’s artwork was inspired by the commuters who use the Western station and the way in which they influence the station’s ever-changing appearance. Throughout the day as travelers pass by the windows they are highlighted by the shifting natural light. The artist’s camouflage pattern creates varying levels of opacity, producing shadows of figures and a dynamic, cinematic setting. "	
Damen-Brown	"""http://www.transitchicago.com/assets/1/public_art/montrose-brown-1.jpg"" "	40090	-87.678639	41.966286	Ron Baron	American Tourister	Bronze	2008	"The components of Ron Baron’s whimsical sculptures contain a history accumulated through years of use. Assembled from bronze castings of assorted vintage briefcases, suitcases and chairs culled from thrift stores and yard sales, the sculptures appear from a distance to be furniture or stacked luggage, but closer inspection rewards viewers with the discovery of embedded dioramas of travel scenes."	
Montrose-Brown	"""http://www.transitchicago.com/assets/1/public_art/irving-park-brown-1.jpg"" "	41500	-87.675047	41.961756	Jason Pickleman	MONT/ROSE: AREA	"Cast aluminum, vinyl decals"	2007	"Comprising 318 complete and partial letterforms of anodized aluminum, Jason Pickleman’s mural celebrates neighboring streets around the Montrose Brown Line station using the graphic language of wayfinding and commercial signage. Set in Neue Helvetica font, the street names are broken at odd lengths, stacked and repeated to create new word combinations that are both familiar and irregular"	
Irving Park-Brown	"""http://www.transitchicago.com/assets/1/public_art/addison-brown-1.jpg"" "	41460	-87.674868	41.954521	"Juan Carlos Macias
Commonplaces"	Commonplaces	Venetian hand-cut glass mosaic	2008	"Inspired by the CTA Brown Line, the Irving Park station and the community they serve, artist Juan Carlos Macias’ murals contemplate the brief convergence of individuals in the course of their separate journeys. Like a microcosm of Chicago, the train is a space that remains familiar while faces and other details change from day to day. The station itself is a point of destination, intersection and departure for a heterogeneous mixture of people in which all are equal—a common place. "	
Addison-Brown	"""http://www.transitchicago.com/assets/1/public_art/paulina-1.jpg"" "	41440	-87.674642	41.947028	Gregory Gomez	The Encrypted Inning	Sand-cast bronze and patina	2007	"The Encrypted Inning, Gregory Gomez’s relief sculpture installation, celebrates both the Chicago Cubs and the human capacity to communicate complex information via two-dimensional symbols. Using the traditional method of baseball score-keeping, the sculpture describes the top half of the sixth inning and the bottom half of the ninth inning of the May 14, 1969 baseball game between the Chicago Cubs and the San Diego Padres. Among the colorful roster of Cubs players were both Ernie Banks and Ron Santo, who helped the home team come from behind to win the game with a score of 3 to 2. The box score symbols, re-created here in bronze, are derived from samples of Cubs broadcaster Ron Santo’s own writing. The Padres’ sixth inning is represented on the interior façades of the elevator towers, facing the passenger platform, and the Cubs’ ninth inning is represented on the exterior façade of the east elevator tower. Cubs management was instrumental in procuring writing samples, and granted the artist permission to duplicate Mr. Santo’s writing.  "	
Paulina	"""http://www.transitchicago.com/assets/1/public_art/paulina-2.jpg"" "	41310	-87.670907	41.943623	Barbara Cooper	Transitions	"Mosaic: Hand-cut glass, Sculpture: Riveted brass and stainless-steel sheeting"	2009	"Transitions comprises a suspended sculpture and a mosaic, which form an artistic dialogue. “Transitions is intended to mirror the fluid, ephemeral, high-energy cellular neighborhoods of the city and the connections and intersections between them, which public transportation facilitates…(it) references not only passage to different physical places, but also to other states of being and points in time.” -Barbara Cooper  "	
Paulina	"""http://www.transitchicago.com/assets/1/public_art/paulina-3.jpg"" "	41310	-87.670907	41.943623	Barbara Cooper	Transitions	"Mosaic: Hand-cut glass, Sculpture: Riveted brass and stainless-steel sheeting"	2009	"Transitions comprises a suspended sculpture and a mosaic, which form an artistic dialogue. “Transitions is intended to mirror the fluid, ephemeral, high-energy cellular neighborhoods of the city and the connections and intersections between them, which public transportation facilitates…(it) references not only passage to different physical places, but also to other states of being and points in time.” -Barbara Cooper  "	
Paulina	"""http://www.transitchicago.com/assets/1/public_art/southport-1.jpg"" "	41310	-87.670907	41.943623	Barbara Cooper	Transitions	"Mosaic: Hand-cut glass, Sculpture: Riveted brass and stainless-steel sheeting"	2009	"Transitions comprises a suspended sculpture and a mosaic, which form an artistic dialogue. “Transitions is intended to mirror the fluid, ephemeral, high-energy cellular neighborhoods of the city and the connections and intersections between them, which public transportation facilitates…(it) references not only passage to different physical places, but also to other states of being and points in time.” -Barbara Cooper  "	
Southport	"""http://www.transitchicago.com/assets/1/public_art/southport-2.jpg"" "	40360	-87.663619	41.943744	Elizabeth Fraiberg	Green (North Wall) and Yellow (South Wall)	Transfer-printed glazed ceramic tile	2009	"The abstract imagery of these murals is derived from the artist’s own photographs of the neighborhood surrounding the Southport station, which she layered and transformed through digital collage. The yellow mural is meant to energize and inspire patrons on their commute into the Loop, while the green mural is intended to impart feelings of coolness and serenity as they return home. "	
Southport	"""http://www.transitchicago.com/assets/1/public_art/belmont-brown-3.jpg"" "	40360	-87.663619	41.943744	Elizabeth Fraiberg	Green (North Wall) and Yellow (South Wall)	Transfer-printed glazed ceramic tile	2009	"The abstract imagery of these murals is derived from the artist’s own photographs of the neighborhood surrounding the Southport station, which she layered and transformed through digital collage. The yellow mural is meant to energize and inspire patrons on their commute into the Loop, while the green mural is intended to impart feelings of coolness and serenity as they return home. "	
Belmont	"""http://www.transitchicago.com/assets/1/public_art/belmont-brown-1.jpg"" "	41320	-87.65338	41.939751	Jerald Jacquard	Space Junction of Energ	"painted steel, mixed media"	1970	"Jerald Jacquard’s sculpture,  Space Junction of Energy , is a paradox; an abstract sculpture that describes the specific  event of mass passing through space. The artist’s intention is to energize the viewer’s mind through perception of the  ever-shifting composition of geometric forms. Formal yet animated, the sculpture is an arrangement of hollow geometric  shapes constructed of cut and welded sheet steel. A visual blanket of orange paint unifies the variable components and  emphasizes the internal balance and harmony of this dynamic composition "	
Belmont	"""http://www.transitchicago.com/assets/1/public_art/belmont-brown-2.jpg"" "	41320	-87.65338	41.939751	Jerald Jacquard	Space Junction of Energ	"painted steel, mixed media"	1970	"Jerald Jacquard’s sculpture,  Space Junction of Energy , is a paradox; an abstract sculpture that describes the specific  event of mass passing through space. The artist’s intention is to energize the viewer’s mind through perception of the  ever-shifting composition of geometric forms. Formal yet animated, the sculpture is an arrangement of hollow geometric  shapes constructed of cut and welded sheet steel. A visual blanket of orange paint unifies the variable components and  emphasizes the internal balance and harmony of this dynamic composition "	
Belmont	"""http://www.transitchicago.com/assets/1/public_art/wellington-1.jpg"" "	41320	-87.65338	41.939751	Jerald Jacquard	Space Junction of Energ	"painted steel, mixed media"	1970	"Jerald Jacquard’s sculpture,  Space Junction of Energy , is a paradox; an abstract sculpture that describes the specific  event of mass passing through space. The artist’s intention is to energize the viewer’s mind through perception of the  ever-shifting composition of geometric forms. Formal yet animated, the sculpture is an arrangement of hollow geometric  shapes constructed of cut and welded sheet steel. A visual blanket of orange paint unifies the variable components and  emphasizes the internal balance and harmony of this dynamic composition "	
Wellington	"""http://www.transitchicago.com/assets/1/public_art/wellington-2.jpg"" "	41210	-87.653266	41.936033	Martin Donlin	Transience	Architectural glass: ceramic enamels fired into tempered glass	2009	"The larger-than-life-size, abstracted human silhouettes  in Martin Donlin’s art glass windows form a rhythmic  composition that represents the community passing  through the Wellington station. A band of smaller figures,  resembling passengers awaiting a train, spans the  width of the glass station front. With repeated viewing,  passengers will discover subtle elements within the  design that are not apparent at first glance."	
Wellington	"""http://www.transitchicago.com/assets/1/public_art/fullerton-1.jpg"" "	41210	-87.653266	41.936033	Martin Donlin	Transience	Architectural glass: ceramic enamels fired into tempered glass	2009	"The larger-than-life-size, abstracted human silhouettes  in Martin Donlin’s art glass windows form a rhythmic  composition that represents the community passing  through the Wellington station. A band of smaller figures,  resembling passengers awaiting a train, spans the  width of the glass station front. With repeated viewing,  passengers will discover subtle elements within the  design that are not apparent at first glance."	
Fullerton	"""http://www.transitchicago.com/assets/1/public_art/fullerton-2.jpg"" "	41220	-87.65286844	41.92530037	Derick Malkemus	Landslide	Cast bronze	2009	"Abstract, dynamic and impeccably detailed, Landslide, like all of Derick Malkemus’ work, is a three-dimensional  drawing—as significant for its lines as for its forms. Employing a unique visual vocabulary, the artist intends his work to be an expression through form, without narrative, to be appreciated without need for a verbal explanation."	
Fullerton	"""http://www.transitchicago.com/assets/1/public_art/fullerton-3.jpg"" "	41220	-87.65286844	41.92530037	Derick Malkemus	Landslide	Cast bronze	2009	"Abstract, dynamic and impeccably detailed, Landslide, like all of Derick Malkemus’ work, is a three-dimensional  drawing—as significant for its lines as for its forms. Employing a unique visual vocabulary, the artist intends his work to be an expression through form, without narrative, to be appreciated without need for a verbal explanation."	
Fullerton	"""http://www.transitchicago.com/assets/1/public_art/armitage-1.jpg"" "	41220	-87.65286844	41.92530037	Derick Malkemus	Landslide	Cast bronze	2009	"Abstract, dynamic and impeccably detailed, Landslide, like all of Derick Malkemus’ work, is a three-dimensional  drawing—as significant for its lines as for its forms. Employing a unique visual vocabulary, the artist intends his work to be an expression through form, without narrative, to be appreciated without need for a verbal explanation."	
Armitage	"""http://www.transitchicago.com/assets/1/public_art/sedgwick-1.jpg"" "	40660	-87.652644	41.918217	Jon Gitelson	Chicago El Stories	Glass photographic tiles	2008	"Jon Gitelson’s mural for the Armitage Brown Line station showcases shared and personal histories of Chicago as related to the artist by Chicagoans and Brown Line passengers. Central to the glass mural is a collection of forty-five photographic images, determined by the artist’s own research, which function as dual portraits of the city and of the memories of its residents. Mr. Gitelson conducted a series of interviews at the Armitage Brown Line station in which he asked individual passengers to share memories of places or experiences within the City of Chicago that are of personal significance. Each interview was captured by the artist in an audio recording. The artist then visited and photographed the scene of each event, free of people, creating a unique portrait of each individual’s memory while also allowing viewers of the artwork to vicariously visit each location. Below each photograph is an excerpt of the related interview. Surrounding the central grouping of images, and referencing the geographic starting point for the artist’s interviews, is a black and white border depicting a street map of the community surrounding the Armitage station."	
Sedgwick	"""http://www.transitchicago.com/assets/1/public_art/chicago-brown-1.jpg"" "	40800	-87.639302	41.910409	Carlos Dzine Rolon	Time is the Enemy (Revisited)	"Ventian glass, marble and stone mosaic"	2009	"Infused with a spirit of playful escapism, this mural offers a breath of otherworldly dimensions in a familiar setting. The texture of hand-cut Venetian glass, assembled in a traditional, painstaking process, contrasts with the animation and energy of the composition. Mirrored glass adds movement to this rhythmic and flowing work befitting Old Town’s history as an artistic and countercultural enclave. "	
