coordinates,Name,Description
"-87.791602,41.872108,0,-87.787237,41.871724,0,-87.784183,41.871451,0,-87.782516,41.871301,0,-87.778262,41.870978,0,-87.776785,41.870886,0",Blue Line (Forest Park),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>1</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100001</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (Forest Park)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Oak Park to Austin</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.745172,41.871608,0,-87.744854,41.871604,0,-87.743807,41.871634,0,-87.741458,41.871667,0,-87.74066,41.871684,0,-87.74018,41.871703,0,-87.739761,41.871738,0,-87.739407,41.871788,0,-87.738797,41.871907,0,-87.738513,41.871972,0,-87.738165,41.872064,0,-87.",Blue Line (Forest Park),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>60</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100060</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (Forest Park)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Cicero to Pulaski</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.817318,41.874257,0,-87.815906,41.87414,0,-87.81556,41.874102,0,-87.815234,41.874071,0,-87.815017,41.874033,0,-87.81484,41.87398,0,-87.814682,41.873913,0,-87.814475,41.873816,0,-87.814298,41.873741,0,-87.814101,41.873652,0,-87.813933,41.873607,0,-87.81",Blue Line (Forest Park),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>138</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100138</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (Forest Park)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Forest Park to Harlem</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.776785,41.870886,0,-87.774451,41.870742,0,-87.773954,41.87072,0,-87.772457,41.870628,0,-87.770143,41.870489,0,-87.768249,41.870376,0,-87.767389,41.870313,0,-87.764904,41.870098,0,-87.764321,41.870046,0,-87.763845,41.870038,0,-87.763536,41.870046,0,-87",Blue Line (Forest Park),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>59</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100059</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (Forest Park)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Austin to Cicero</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.725625,41.873889,0,-87.725142,41.873893,0,-87.724218,41.873917,0,-87.719697,41.873968,0,-87.715616,41.874017,0,-87.714216,41.874038,0,-87.712523,41.874064,0,-87.710757,41.874065,0,-87.709448,41.874097,0,-87.708256,41.874132,0,-87.707855,41.874175,0,-8",Blue Line (Forest Park),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>61</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100061</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (Forest Park)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Pulaski to Kedzie-Homan</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.688435,41.87553,0,-87.687028,41.875538,0,-87.686129,41.875545,0,-87.680268,41.875581,0,-87.676451,41.875609,0,-87.673946,41.875635,0",Blue Line (Forest Park),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>10</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100010</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (Forest Park)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Western to Medical District</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.673946,41.875635,0,-87.673359,41.875651,0,-87.672754,41.875655,0,-87.668864,41.875735,0,-87.667531,41.875762,0",Blue Line (Forest Park),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>63</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100063</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (Forest Park)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Medical District to Loomis Junction</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.705978,41.874426,0,-87.70394,41.874724,0,-87.701468,41.875085,0,-87.700813,41.875177,0,-87.700434,41.875215,0,-87.700003,41.875263,0,-87.699604,41.875296,0,-87.699164,41.87533,0,-87.698778,41.875356,0,-87.698306,41.87538,0,-87.69778,41.875398,0,-87.69",Blue Line (Forest Park),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>64</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100064</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (Forest Park)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Kedzie-Homan to Western</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.806961,41.87349,0,-87.805687,41.873363,0,-87.804483,41.873249,0,-87.801518,41.872967,0,-87.796354,41.872507,0,-87.79279,41.872212,0,-87.791602,41.872108,0",Blue Line (Forest Park),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>24</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100024</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (Forest Park)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Harlem to Oak Park</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
"-87.729177,41.95294,0,-87.727978,41.952268,0,-87.726321,41.95132,0,-87.725476,41.950848,0,-87.723568,41.949749,0,-87.723017,41.949436,0,-87.722403,41.949102,0,-87.721808,41.948809,0,-87.721547,41.948688,0,-87.721217,41.948541,0,-87.720983,41.948445,0,-87.",Blue Line (O'Hare),"<html xmlns:fo=""http://www.w3.org/1999/XSL/Format""> <body leftmargin=""0"" topmargin=""0"" bottommargin=""0"" rightmargin=""0""> <font face=""Arial""> <table border=""1"" width=""300"" cellpadding=""5"" cellspacing=""0""> <tr bgcolor=""#9CBCE2""> <th width=""50&#37;"" align=""left"">Field Name</th> <th width=""50&#37;"" align=""left"">Field Value</th> </tr> <tr> <td>SEGMENT_ID</td> <td>109</td> </tr> <tr bgcolor=""#D4E4F3""> <td>ASSET_ID</td> <td>21100109</td> </tr> <tr> <td>RAIL LINES</td> <td>Blue Line (O'Hare)</td> </tr> <tr bgcolor=""#D4E4F3""> <td>DESCRIPTION</td> <td>Irving Park to Addison</td> </tr> <tr> <td>TYPE</td> <td>Elevated or at Grade</td> </tr> <tr bgcolor=""#D4E4F3""> <td>LEGEND</td> <td>BL</td> </tr> </table> </font> </body> </html>"
