Station	Latitude	Longitude	Line	Artist	Title	Date	Material	Description	Extra	artLink
West 8th St-New York Aquarium	40.576127	-73.975939	"F,Q"	Vito Acconci (Acconci Studio)	Wavewall	2005	"Steel, ceramic tile, granite, fiberglass"	"The inspiration for the station's design was local sites - the historic Coney Island boardwalk and Cyclone roller coaster, the aquarium next to the station, and area beaches.  The station is on the approximate site of a former roller coaster ride.  The architect, Jim McConnell of Daniel Frankfurt, wanted to transform the exterior station walls in a unique way.  Working with the architects, artist Vito Acconci developed an architectural treatment for the station fa?ade that is full of life.  As in successful collaborations, there is no clear delineation between the architecture and the art. *Before rehabilitation, the windscreens blocked ocean views; the new windscreens open up the platform view of the Atlantic Ocean.   In the artist's words, ?The normally horizontal and vertical steel windscreen tubes and panels have been transformed into a more sinuous form that evokes the notion of a wave, or that of motion as in the Cyclone or the subway itself.?  The result is a striking and unique subway station that fits into its special surroundings."	in collaboration with Daniel Frankfurt	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=F&station=1"">Wavewall</a>"
Coney Island-Stillwell Avenue	40.577422	-73.981233	"D,F,N,Q"	Robert Wilson	My Coney Island Baby	2004	Glass brick wall at street level	"{My Coney Island Baby} at the Stillwell Avenue subway terminal is big, bold, and attention-grabbing.  Images are silk-screened onto glass bricks that form a Vista glass-brick wall.  In the artist's words, ?I see a glass wall built as a celebration of life and joy containing all sorts of different images relating to the history of one of the greatest landmarks in the cit,Y Coney Island.?  The popular image of Coney Island is the amusement park and beach, but the neighborhood is also solidly residential.  {My Coney Island Baby} focuses on this variet,Y featuring the recreational attractions as well as the people who live, work, and play here.  As light conditions change {My Coney Island Baby} does as well.  In daylight, with the sun streaming in, its images and colors are boldly illuminated.  At night it glows from within, adding mystery to the surroundings.  Wilson is internationally known for his work in experimental theater and here he brings his visionary stagecraft to public art with great effect."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=D&station=1"">My Coney Island Baby</a>"
Coney Island-Stillwell Avenue	40.577422	-73.981233	"D,F,N,Q"	 Atlantic Terra Cotta Company	BMT Fa?ade on building entrance	2004	Glass brick wall at street level	"With the renovation of the Stillwell Avenue Coney Island Terminal, a new building was constructed, with a retail arcade along the passage to the trains.  Architects Di Domenico   Partners, refer to it as ?a collage of elements that recall the 'Playland' character of Coney Island's past and strike the spark that will shape the area's future.? Vel Riberto Consulting and Fisher Marantz Renfro Stone were instrumental in the lighting of the project; it evokes the original Coney Island amusements, including Steeplechase Park, and Luna Park.  While most of the building is new, important historic elements from the earlier structure were  preserved.  Here, Arts for Transit led the efforts to conserve and reintroduce rather than replace the parapet from the original building along with 'BMT Lines? medallion and BMT logo in green and red glazes.  Conservator Alan Farancz preserved these historic elements. *{Arts for Transit's mission includes maintaining historic elements when they can be integrated into rehabilitation, thereby linking the old with the new.}"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=D&station=1"">BMT Fa?ade on building entrance</a>"
Brighton Beach	40.577621	-73.961376	"B,Q"	Dan George	Mermade/Dionysus and the Pirates	1999	Aluminum sculptures on elevated platform	"Brighton Beach, near Coney Island, was once one of New York City's prime seaside entertainment and recreation areas.  ?The sea is ancient, rich, and mysterious,? says Dan George.  ?I wanted {Dionysus} to intrigue people and to remind them of the sea's mythic history and thereby spark the creation of their own dreams and fantasies.?  Dolphins - six pairs and a singleton - are used by the artist to depict the metamorphosis from human to animal.  These have a light and supple appearance, belying the materials from which they are made - sturd,Y solid and durable aluminum plate and the way that natural light reflects off the water plays on the satiny polished finish and planes of the sculptures giving it buoyancy."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Mermade/Dionysus and the Pirates</a>"
Rockaway Park-Beach 116th St	40.580903	-73.835592	"A,S"	K K Kozik	First on the Beach and Wednesday Night Fireworks	2008	Laminated glass in the station building interior windows	"Laminated glass artwork on the two interior clerestory windows evoke night and day in Rockaway Park. One window shows a timeless interlude on the beach, complete with unfurling towels as beachgoers stake out space on a bright sunny day. On the opposite wall, a night sky over the beach and ocean is transformed with bursts of fireworks, as rapt families and neighbors gather to watch the Wednesday night summer tradition unfold.*Artist K K Kozik created the originals in pastel and her drawings were transformed into the glass panels that capture the detail and expressive palette of her summer day and night. The building is the terminal station for the A and S in Rockaway Park and serves as a focal point for the tight-knit community."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">First on the Beach and Wednesday Night Fireworks</a>"
Neptune Av	40.581011	-73.974574	F	Michael Krondl	Looking Up	2004	Faceted glass in platform windscreens	"Michael Krondl describes {Looking Up} as ?a series of photographically-derived images? that creates a movie for the subway rider as he or she leaves the leafy residential neighborhoods and reaches Coney Island, seen of in the distance.  Krondl selected his images for their properties and how they reflect and refract light.  His sources include the nearby foliage and the sk,Y which is a big part of the experience of riding the elevated train in Brooklyn, and Coney Island's famous Cyclone roller coaster.  ?The transition from image to image mimics a camera panning from the nearby trees to the sky above and finally to the Cyclone in the distance.  For the F train passenger the experience is almost cinematic.  The foliage, the clouds, and the roller coaster all play with transparency; light-colored sky outlines the trestlework on the Cyclone, peeks out between the leaves, and envelops the bright white clouds.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=F&station=1"">Looking Up</a>"
Sheepshead Bay	40.586896	-73.954155	"B,Q"	DeBorah Goletz	Postcards from Sheepshead Bay	1998	Ceramic on fa?ade; ceramic and banding on interior station walls	"At the turn of the twentieth century Sheepshead Bay was a popular tourist destination.  Historic sites and views from its past are portrayed in {Postcards from Sheepshead Bay}.  The large mural outdoors is an oversized replica of a vintage postcard that nostalgically shows a couple fishing, a jockey on horseback, and a summer home - as well as a sheepshead, the fish for which the village was named. DeBorah Goletz fancifully cut out the couples' faces, allowing people to ?stick their heads through for souvenir photos, just like the old boardwalk props,? she says.  Inside, another mural of turn-of-the-century people, and two smaller ones, capture quiet moments on the bay.  Goletz created intricately patterned tiles with color gradations from green to blue and back to green.  The results are rhythmic patterns that make one ?feel? the water itself."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Postcards from Sheepshead Bay</a>"
Kings Highway	40.60867	-73.957734	"B,Q"	Rhoda Andors	Kings Highway Hieroglyphs	1987	Porcelain enamel at station entrances	"The artwork consists of brightly painted porcelain enamel panels that use symbols and figures to create a contemporary version of Egyptian hieroglyphs.  Against a blue background, large figures walk forward framed by symbols that represent subway visits and the nearby beach.  In the artist's words, ?If public art is elegantly and permanently crafted, it will delight audiences of the present and the future, in the way the wall paintings of ancient civilizations delight us today...?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Kings Highway Hieroglyphs</a>"
86th St	40.622687	-74.028398	"4,5,6"	Peter Sis	Happy City	2004	Glass mosaics and etched stone on platform walls above stairs	"In {Happy City}, Peter Sis depicts four large eyes to represent the ingredients of the community and the vibrancy that is New York.  Created with etched stone and glass mosaics and rendered in bold color, above the stairs, the pupils and eyelashes are ?drawn? with buildings from the neighborhood, incorporating such landmarks as the Metropolitan, Guggenheim, and Whitney museums, as well as Gracie Mansion.  The irises and whites of the eyes serve as a background for figurative elements that capture the diversity and energy of the community.  According to the artist, ?The [people of the city] have children and want the best for their children, so they tell them stories and fairy tales.  The fairy tales are the magic animals which appear to float in throughout the four murals.  In the end they form the carousel with the happy children of all nationalities enjoying the ride.  That is the future of the city.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Happy City</a>"
86th St	40.622687	-74.028398	1	Nitza Tufi?o	Westside Views	1989	Ceramic tile on platform walls	"{Westside Views} began when the local Community Board recommended that developer amenity funds be used for a youth project to benefit the community.   The result was a collaboration between Nitza Tufi?o and 17 young people, most of whom were part of Grosvenor Neighborhood House's school equivalency and educational program. The team went into area streets to photograph important historic sites and interviewed members of the communit,Y ultimately creating 40 ceramic tiles based on their work.  The murals are permanently installed as a testament to the success of the project.  Speaking of her work, Tufi?o says: ?As an artist, if I take my brushes and my skills and I invest in the lives of young people, then others can see what is possible...  I believe human beings can do anything, if we find something that would positively influence them.?"	in collaboration with Grosvenor Neighborhood House Student Muralists	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Westside Views</a>"
77th St	40.629742	-74.02551	6	Robert Kushner	4 Seasons Seasoned	2004	Glass mosaic on mezzanine walls above stairs	"For his mosaics, Robert Kushner created bouquets of flowers - from every season - that reflect such influences as Dutch flower paintings and Japanese screens.  Most neighborhoods have flower shops, but they are abundant on the Upper East Side, and have associations with many of the city's finest hospitals, parks, and museums located there.  A painter, sculptor and printmaker, Kushner has always been fascinated by organic motifs.  A key figure of the Pattern and Decoration movement, he continues to feature vegetal motifs in his works, often along with geometric patterns and architectural shapes.  At 77th Street he gives the community a blazing bouquet to brighten the day (and night)."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">4 Seasons Seasoned</a>"
Brooklyn College-Flatbush Avenue	40.632836	-73.947642	"2,5"	Muriel Castanis	Flatbush Floogies	1996	Bronze reliefs in entrance and on platform walls	"The ethereal {Flatbush Floogies}' forms in bronze reliefs are sprites or nymphs who frolic on plaques in the station's entry and on the train platform, accompanied by legends that describe the history of the neighborhood, from the native Canarsie tribe to pirate Captain Kidd to the Brooklyn Dodgers.  In the work, artist Muriel Castanis depicts absence by shaping flowing robes around bodies that are no longer there.  The haunting result suggests their loss.  To create her floating, hooded figures, Castanis ?drapes? epoxy-saturated fabric, working it until satisfied with the shape, and letting it set until it hardens.  Then she casts the pieces in bronze for permanence."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Flatbush Floogies</a>"
Newkirk Av	40.635082	-73.962793	"B,Q"	David Wilson	Transit Skylight	1988	Zinc-glazed polycarbonate skylight	"David Wilson's skylight fills the waiting area of this Brooklyn subway station with bright, clear light.  The panels are framed in blue and the pattern in the panes consists of black lines and solid panels in geometric form, that echoes the aesthetics of the Arts and Crafts movement and leaded glass work from that era, but with a more contemporary interpretation.  In Wilson's words, ?I had been interested in the use of plastics and the possibility of ?leadlines? that are not feasible in glass - thus the diagonal ?cuts? going to nowhere in the piece (i.e. stopping in the middle of a color).  The project is a kind of architectural statement - a skylight set into a difficult environment (a steel I-beam divides the triangular window into two halves so that it is hard to read as a whole).?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Transit Skylight</a>"
50th St	40.63626	-73.994791	1	Liliana Porter	Alice: The Way Out	1994	Glass mosaic on platform walls	"In this series of mosaic panels, titled {Alice: The Way Out}, Liliana Porter's silhouetted figures portray characters from Lewis Carroll's {Alice in Wonderland}.  The simple and engaging quality of the works echo the stagecraft found in the Broadway theaters nearby.  The artist evokes the idea of the theatrical and playfully connects it with the experience of being underground, as was Alice during her adventures.   Commenting on what is below the surface, Porter shows Alice pulling back a curtain to reveal the drama.  Porter prefers to let the viewer's imagination fill in the details of her shadowy figures, playing on our varying views of reality while entertaining her captive audience."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Alice: The Way Out</a>"
50th St	40.63626	-73.994791	"C,E"	Matt Mullican	Untitled	1989	"Etched granite mural in entrance, sponsored by New York Communications Center Associates"	"Artist Matt Mullican created an 8-foot by 68-foot sandblasted black granite mural that presents a time-line of the history of the station site, atop which sits an office tower.  (The subway station was rehabilitated in concert with the office development.)  Mullican employs an iconographic visual vocabulary through which he reveals the site's past as rural, occupied by a cabin, and as a previous site of Madison Square Garden.  Depictions of maps and aerial views are also part of the large mural.  Mullican's pictographs reward the repeat visitor with layers of meaning as the piece is viewed again and again.  Mullican communicates through a simplified visual system, but his signs provide deeper meaning to those who look."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=C&station=1"">Untitled</a>"
59th St-Columbus Circle	40.641362	-74.017881	"A, B, C, D, 1"	Sol LeWitt	Whirls and twirls (MTA)	2009	"Ceramic tile on mezzanine wall between the 1 and A, B, C, D"	"A monumental and vibrant porcelain tile wall drawing by Sol LeWitt has been installed at 59th Street-Columbus Circle. The artist created the proposal in 2004 and, working with Dattner Architects, selected the site in an expansive wall facing a double-wide stairway and landing that leads from the mezzanine to the platforms of the A, C, B, D and 1 trains. Titled {Whirls and twirls (MTA)}, the artwork is 53 feet wide and by 11 feet high and consists of 250 porcelain tiles in six colors, each cut to meet the artist's specifications. The artist created the drawing/maquette for the project, reviewed and selected materials, and approved color samples prior to his death in 2007. *The artist is known for his sculptures and his wall drawings, in which detailed directions are provided for the execution of the artwork in paint or pencil. The site-specific piece - unique because it is a permanent public installation of a wall drawing - is a bravura work of precision, with swooping curves and vertical and horizontal bars in vibrant color that completely fills the space. The tile was cut to the exact dimensions of the drawing to ensure that the scale of the work and the color sequences are as the artist intended. *Sol LeWitt (1928-2007) is a celebrated artist who has had hundreds of solo exhibitions in museums and galleries worldwide since 1965. His work includes more than 1,100 wall drawings, photographs, hundreds of works on paper, and geometry-based sculptures. An exhibition at Mass MOCA in North Adams, Massachusetts, features 105 wall drawings in a specially designed museum space and will be on view through 2033."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Whirls and twirls (MTA)</a>"
59th St-Lexington Avenue	40.641362	-74.017881	"4,5,6,N,R,W"	Elizabeth Murray	Blooming	1996	"Glass mosaic wall on mezzanine walls connecting the 4, 5, 6, and the N, R, W; medallions on 4, 5 express platform"	"Riders at this station are treated to the joyous burst of color and shapes that is {Blooming}.   The mosaics defy the corners of the space as the imagery wraps around corners, down steps, and through doorways. *{Blooming} takes its title from Bloomingdale's, located above the station upstairs.  The artist views the subway as a ?dreamy underworld? and also a place to wake up, and her pink trees, red shoes and yellow mugs with steaming coffee succeed in gaining the viewers' attention.  Murray says, ?I added the stepping shoes and steaming coffee cups, part of the ritual of every morning or evening subway trip.?  The images are intended to  ?stimulate thoughts about passage, as does the poetry?  that is incorporated into the mural, lines from William Butler Yeats's, ?In dreams begin responsibilit,Y?  Gwendolyn Brooks's ?Conduct your blooming in the noise and whip of the whirlwind.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Blooming</a>"
Fifth Av/59th St	40.641362	-74.017881	"N,R,W"	Ann Schaumburger	Urban Oasis	1997	Glass mosaic on station fa?ade and throughout station	"A menagerie of animals and birds from Central Park, rendered in glass mosaic, can be seen throughout the subway station and its facade.  ?As a painter and teacher,? says the artist, ?I wanted this piece to appeal to children and to the child in the adult.  I'm happy that the work is accessible and touchable.?  Ann Schaumburger's playful creatures crawl, swim, leap, and fly from floor to ceiling throughout the station in a series of friezes.  To prepare her designs, she photographed animals and animal statues in the Central Park Zoo.  The result is a series of beguiling animal families grouped by habitat:  a tropical rain forest, a polar landscape, and a park environment.  ?We chose glass rather than ceramic for the mosaics because of its greater translucency and color gradation,? says Schaumburger.  ?And I selected a color palette that echoes the colors in the station's original historic tile work, much of which has been retained.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=N&station=1"">Urban Oasis</a>"
Beverley Road and Cortelyou Road	40.644031	-73.964492	Q	Patsy Norvell	Garden Stops	1994-1996	Sandblasted glass windows in mezzanine; stair railing and exterior fence	"{Garden Stops} brings neighborhood gardens and their creeping vines into the historic station architecture.  Patsy Norvell's steel railings enclose the station entrances and stairwells leading down to the tracks, and each has a floral motif.  Curving steel bars give way to columns topped by abstract flower designs.  The railings' vertical bars are punctuated by decorative squares, reproduced from the stations' original fencing.  In the waiting rooms large tri-panel bay windows that are etched with floral imagery overlook the tracks, mediating between the indoor and outdoor space.  The artist describes the work as ?an environment that surrounds you rather than something you stop to look at.  As viewers pass through, the work's elements evoke the history of the stations, trigger people's own memories, and spark a kind of inner dialogue about space, nature, and change.?"		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=Q&station=1"">Garden Stops</a>"
51st St-Lexington Avenue	40.645069	-74.014034	"6,E,V"	Nina Yankowitz	Tunnel Vision	1988	Ceramic tile in lower pass	"{Tunnel Vision} consists of handmade tiles that line the 51st Street and Lexington Avenue subway underpass.   The 1,000 square-foot ceramic tile installation contains a series of wide cracks that appear as deep indentations in the form of lightning bolts ripping through the site and exposing bright blue marbleized water tiles.  Revealed within are seascapes that offer a view to another realm.  A ceramic relief architectural frieze of the New York City skyline in red, black, and white wraps around the top portion of the walls, and column-like forms appear as pillars supporting the ceiling.  The passage is made to feel more expansive as the view Yankowitz provides adds dimension, detail, and interest."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">Tunnel Vision</a>"
Fifth Av-53rd St	40.645069	-74.014034	"E,V"	Ralph Fasanella	Subway Riders	1950/1995	Oil on canvas on mezzanine	"Ralph Fassanella painted a subject with which he was deeply familiar.  Talking about {Subway Riders}, the artist reflected: ?I'd ride the subway every day... I'd ride and ride and sketch and sketch.  I love the subway.  It pulls the city together, pulls people together in a magic way.  Here I show the subway riders at night after a hard day's work.  Everyone is separate, alone, but very much together.  It's noisy with the creaks and squeals, but peaceful too, because we move to a rhythm and cadence that gets inside us; that's comforting, like the noise of the city itself.?  Fasanella grew up in Greenwich Village, and worked as an iceman and union organizer, producing paintings in what would become known as urban folk style."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Subway Riders</a>"
Fifth Av-53rd St	40.645069	-74.014034	"E,V"	Drenttel Doyle and Partners	53rd Street Art Stop	2000	Porcelain enamel on downtown platform wall	"The museums and cultural institutions in midtown Manhattan are on display at Art Stop at the Fifth Avenue-53rd Street subway station.  Drenttel Doyle and Partners were selected by MTA Arts for Transit and area institutions as the graphic designers for the project.   The result is 73 porcelain enamel panels on the station platform that invite and inform riders of the area's offerings, which include  the Museum of Television and Radio, the Municipal Art Societ,Y the American Folk Art Museum, the Donnell Library Center of the New York Public Librar,Y and the Museum of Modern Art.  Selected Arts for Transit projects are also spotlighted."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">53rd Street Art Stop</a>"
Lexington Av-53rd St	40.645069	-74.014034	"E,V,6"	Al Held	Passing Through	2004	Glass mosaic on mezzanine walls	"{Passing Through} is one of the last public works of celebrated abstract painter Al Held; it was being installed at the time of his death.  The colorful and exuberant mural reveals an immense universe in which geometric elements of varying shapes and sizes float freely.  In the 1960s, Held moved from abstraction to tightly controlled geometric work, with two-dimensional figures suspended on the canvas.  Held was curious about how everything is structured and was inspired by theories about the universe and its mysteries.  He described his interest in ?images that we believe in but that are beyond our senses and that we can never experience directly.?   There is also another subject, that of buildings and architecture.  His imagery powerfully evokes New York City's contemporary energy while acknowledging the forms and styles of the Midtown skyscrapers overhead."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=E&station=1"">Passing Through</a>"
Church Av	40.650527	-73.962982	"2,5"	Louis Delsarte	Transitions	2001	Glass mosaic on platform walls	"The series of glass mosaics, created by artist Louis Delsarte, reflect the color, energ,Y and daily life in the Flatbush section of Brooklyn where the station is located.  Home to many residents of Caribbean descent, the West Indian-American Day Parade is prominently featured alongside other neighborhood sights and scenes. ?This neighborhood has had many different groups moving in and out over the years.  Now it's predominately Caribbean, and I wanted to freeze a moment in its histor,Y? says the artist.  In the section called ?{Avenue of Churches}? Sunday morning rituals are observed while in ?{The Neighborhood},? children are shown happily jumping rope on the area's sidewalks."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Transitions</a>"
E. 105th St	40.650573	-73.899485	L	Michael Ingui	Crescendo	2007	Laminated glass in mezzanine windows and above stairs	"Inspired by the architectural design of the station, artist Michael Ingui sought to capture its energy through {Crescendo}.  The brilliant green and blue colors are used to accentuate the geometry and directional quality of the structure--emphasizing the station's structural elements--and to unify the different events on the panels to create a single vision.  The lines of the glass panels are in continuous motion--just like the trains and passengers that travel by them every day."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=L&station=1"">Crescendo</a>"
36th St	40.655144	-74.003549	"D,M,N,R"	Owen Smith	"An Underground Movement: Designers, Builders, Riders"	1998	Ceramic mosaic on mezzanine walls; ceramic mosaic medallions on stairway walls	"Owen Smith designed this brilliantly colored mosaic work with Brooklyn riders in mind, as ?a celebration of the working people who have made the subway what it is today.?  The  subject matter is the subway's creation and importance.  Smith said, ?The west wall depicts the designers and engineers who achieved this great engineering feat.  The north wall pays tribute to the workers who dug the tunnels and laid the 680 miles of track.  And the third panel represents the people who use the subway every day and whose lives are improved by it.?  Smith highlights popular pastimes and haunts in the murals; on the Manhattan-bound side the Rockettes are seen kicking their heels, and on the Brooklyn-bound platform Smith depicts a brownstone with Coney Island in the background.  Smith cites Diego Rivera and other WPA era muralists as influences, and designed his murals in their spirit."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=D&station=1"">An Underground Movement: Designers, Builders, Riders</a>"
Parkside Av	40.655292	-73.961495	Q	Susan Tunick	Brighton Clay Re-Leaf Nos. 1-4	1994	Ceramic mosaic on mezzanine	"For both the Prospect Park and Parkside Avenue stations, Susan Tunick created intricate, multicolored ceramic mosaic murals and borders.  These 1919 stations, with station booths and turnstiles located in above-ground ?headhouses,? feature wall tiles and decorative borders influenced by the Arts and Crafts movement.  Tunick's art celebrates the vintage ceramic ornamentation of the station and is inspired by her fascination with terra cotta and her childhood memories of nearby Prospect Park and the Brooklyn Botanic Garden.  Tunick says her works for the sites, collectively titled {Brighton Clay Re-Leaf, Nos.1-4}, balance her respect for the stations' ?ceramic histor,Y? her recollection of the colors and shapes of the foliage in the park and garden, and her desire to add eye-catching modern design, which is achieved in her use of bold color, pattern, and texture in the tiles."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=Q&station=1"">Brighton Clay Re-Leaf Nos. 1-4</a>"
New Lots Av	40.658733	-73.899232	L	Eugenie Tung	16 Windows	2007	Fused glass in platform windscreens	"Using windows as a motif, artist Eugenie Tung looks into the daily lives of New Yorkers engaged in their daily routines before (on the Manhattan-bound platform) and after (on the Brooklyn-bound platform) their daily commutes: watering plants, watching TV, eating breakfast, cooking dinner.  The artist believes that beauty can be found within these often overlooked ordinary activities; although there may be differences in how they are carried out, the rituals of daily life cross invisible boundaries and unite us all through the concept of home."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=L&station=1"">16 Windows</a>"
Prospect Park	40.661614	-73.962246	"B,Q,S"	Susan Tunick	Brighton Clay Re-Leaf Nos. 1-4	1994	Ceramic mosaic on mezzanine	"For both the Prospect Park and Parkside Avenue stations, Susan Tunick created intricate, multicolored ceramic mosaic murals and borders.  These 1919 stations, with station booths and turnstiles located in above-ground ?headhouses,? feature wall tiles and decorative borders influenced by the Arts and Crafts movement.  Tunick's art celebrates the vintage ceramic ornamentation of the station and is inspired by her fascination with terra cotta and her childhood memories of nearby Prospect Park and the Brooklyn Botanic Garden.  Tunick says her works for the sites, collectively titled {Brighton Clay Re-Leaf, Nos.1-4}, balance her respect for the stations' ?ceramic histor,Y? her recollection of the colors and shapes of the foliage in the park and garden, and her desire to add eye-catching modern design, which is achieved in her use of bold color, pattern, and texture in the tiles."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=B&station=1"">Brighton Clay Re-Leaf Nos. 1-4</a>"
Livonia Av	40.664038	-73.900571	L	Philemona Williamson	Seasons	2007	Fused glass in Platform windscreens	"Focusing on community activities and family-oriented themes, artist Philemona Williamson brings cheerful flowers, autumn pumpkins, snowflakes, and the cool water of swimming pools to the Livonia Avenue station through the artwork, {Seasons}.  The 18 colorful, painterly glass works highlight shared experiences of the changing seasons.  Williamson strove to capture expressions of timelessness and bring light and peace to the station environment, inspiring riders' thoughts and memories of places they have been and the joyful start of each new day."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=L&station=1"">Seasons</a>"
Prospect Av	40.665414	-73.992872	"2,5"	Marina Tsersarskaya	Bronx. Four Seasons.	2008	Faceted glass in platform windscreens and station building window niches	"{Bronx. Four Seasons} is a series of faceted glass compositions illustrating the four seasons with views of the Bronx from the Prospect Avenue station.  The works by artist Marina Tsersarskaya feature the intricate and delicate design of the historic railings found in the station and depict an urban landscape of buildings, trees, and flowers, filtering the bright sunlight through the windows to create a transformed station environment that combines the city and nature into a single artistic vision."		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Bronx. Four Seasons.</a>"
