transaction,jurisdiction,Type,PPP,sub_sector,status,sector,date,usd,advise_type,org,stage
Casey House Hospice Redevelopment,Ontario,Greenfield,yes,Healthcare,Shortlisted Proponents,Social Infrastructure,41642,49,Legal,Gowling Lafleur Henderson LLP (Gowlings),Shortlist
City of Moncton Downtown Centre Project,New Brunswick,Greenfield,yes,Leisure,Shortlisted Proponents,Social Infrastructure,41579,84,Legal,Gowling Lafleur Henderson LLP (Gowlings),Shortlist
Edmonton LRT P3 - Valley Line,Alberta,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41862,1800,Financial,KPMG,Shortlist
Edmonton LRT P3 - Valley Line,Alberta,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41862,1800,Legal,Borden Ladner Gervais,Shortlist
Edmonton LRT P3 - Valley Line,Alberta,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41862,1800,Technical,AECOM,Shortlist
Edmonton LRT P3 - Valley Line,Alberta,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41862,1800,Counsel,Aird & Berlis,Shortlist
Eglinton Crosstown LRT,Ontario,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41628,3500,Legal,"Blake, Cassels & Graydon LLP",Shortlist
Eglinton Crosstown LRT,Ontario,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41628,3500,Financial,Bank of Montreal (BMO),Shortlist
Eglinton Crosstown LRT,Ontario,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41628,3500,Insurance,AON,Shortlist
Eglinton Crosstown LRT,Ontario,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41628,3500,Fairness,SEG Management Consultants,Shortlist
Eglinton Crosstown LRT,Ontario,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41628,3500,Technical,Marshall Macklin Monahan,Shortlist
Eglinton Crosstown LRT,Ontario,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41628,3500,Technical,McCormick Rankin,Shortlist
Eglinton Crosstown LRT,Ontario,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41628,3500,Technical,Hatch Mott MacDonald,Shortlist
Eglinton Crosstown LRT,Ontario,Greenfield,yes,Light Rail,Shortlisted Proponents,Transport,41628,3500,Technical,Parsons,Shortlist
Emerald Coast Utilities Authority,Florida,Greenfield,yes,Waste,Shortlisted Proponents,Environment,42046,52.5,Technical,Parsons,Shortlist
Emily Carr University P3,British Columbia,Greenfield,yes,Education,Preferred Proponent,Social Infrastructure,41946,135,Legal,Fasken Martineau,Shortlist
Emily Carr University P4,British Columbia,Greenfield,yes,Education,Preferred Proponent,Social Infrastructure,41946,135,Legal,Aird & Berlis,Shortlist
Emily Carr University P5,British Columbia,Greenfield,yes,Education,Preferred Proponent,Social Infrastructure,41946,135,Financial,PricewaterhouseCoopers (PwC),Shortlist
Emily Carr University P6,British Columbia,Greenfield,yes,Education,Preferred Proponent,Social Infrastructure,41946,135,Technical,BTY Group,Shortlist
Etobicoke General Hospital Phase 1 Redevelopment,Ontario,Greenfield,yes,Healthcare,RFQ returned,Social Infrastructure,42046,444,Technical,Stantec,RFQ
Flagstaff Facilities,Arizona,Greenfield,yes,Accommodation,Preferred Proponent,Social Infrastructure,41313,444,P3,"Jacobs Engineering Group, Inc.",Preferred Proponent
GO Transit Maintenance Facility P3,Ontario,Greenfield,yes,Light Rail,Preferred Proponent,Transport,42027,444,Technical,AECOM,Shortlist
