yr,tm,lst,sal
2014,Nashville Predators,Weber,14000000
2013,Nashville Predators,Weber,14000000
2012,Nashville Predators,Weber,14000000
2014,Pittsburgh Penguins,Crosby,12000000
2013,Pittsburgh Penguins,Crosby,12000000
2013,Minnesota Wild,Parise,12000000
2013,Minnesota Wild,Suter,12000000
2012,Buffalo Sabres,Myers,12000000
2012,Minnesota Wild,Parise,12000000
2012,New York Rangers,Richards,12000000
2012,Minnesota Wild,Suter,12000000
2011,New York Rangers,Richards,12000000
2014,New York Rangers,Lundqvist,11000000
2014,Minnesota Wild,Parise,11000000
2014,Minnesota Wild,Suter,11000000
2012,New Jersey Devils,Kovalchuk,11000000
2014,Detroit Red Wings,Datsyuk,10000000
2014,Philadelphia Flyers,Giroux,10000000
2014,Toronto Maple Leafs,Kessel,10000000
2014,Washington Capitals,Ovechkin,10000000
2012,Tampa Bay Lightning,Lecavalier,10000000
2011,Philadelphia Flyers,Bryzgalov,10000000
2011,Buffalo Sabres,Ehrhoff,10000000
2011,Tampa Bay Lightning,Lecavalier,10000000
2010,Tampa Bay Lightning,Lecavalier,10000000
2010,Vancouver Canucks,Luongo,10000000
2009,Tampa Bay Lightning,Lecavalier,10000000
2008,Ottawa Senators,Heatley,10000000
2007,Philadelphia Flyers,Briere,10000000
2007,New York Rangers,Gomez,10000000
2007,Buffalo Sabres,Vanek,10000000
2014,Pittsburgh Penguins,Malkin,9500000
2014,Carolina Hurricanes,Staal,9250000
2013,Carolina Hurricanes,Staal,9250000
2014,Anaheim Ducks,Perry,9000000
2013,Washington Capitals,Ovechkin,9000000
2013,New York Rangers,Richards,9000000
2012,Pittsburgh Penguins,Malkin,9000000
2012,Washington Capitals,Ovechkin,9000000
2011,Pittsburgh Penguins,Crosby,9000000
2011,Pittsburgh Penguins,Malkin,9000000
2011,Washington Capitals,Ovechkin,9000000
2010,Pittsburgh Penguins,Crosby,9000000
2010,Pittsburgh Penguins,Malkin,9000000
2010,Washington Capitals,Ovechkin,9000000
2009,Pittsburgh Penguins,Crosby,9000000
2009,Pittsburgh Penguins,Malkin,9000000
2009,Washington Capitals,Ovechkin,9000000
2008,Pittsburgh Penguins,Crosby,9000000
2008,Washington Capitals,Ovechkin,9000000
2014,Anaheim Ducks,Getzlaf,8750000
2012,Carolina Hurricanes,Staal,8500000
2011,Boston Bruins,Chara,8500000
2008,Calgary Flames,Kiprusoff,8500000
2012,Los Angeles Kings,Richards,8400000
2007,New York Rangers,Jagr,8360000
2006,New York Rangers,Jagr,8360000
2005,New York Rangers,Jagr,8360000
2009,New York Rangers,Drury,8050000
2014,Toronto Maple Leafs,Phaneuf,8000000
2014,Tampa Bay Lightning,Stamkos,8000000
2013,Boston Bruins,Chara,8000000
2013,Tampa Bay Lightning,Stamkos,8000000
2012,Buffalo Sabres,Ehrhoff,8000000
2012,Chicago Blackhawks,Keith,8000000
2012,Ottawa Senators,Spezza,8000000
2012,Tampa Bay Lightning,Stamkos,8000000
2011,Minnesota Wild,Heatley,8000000
2011,Chicago Blackhawks,Keith,8000000
2011,Ottawa Senators,Spezza,8000000
2011,Tampa Bay Lightning,Stamkos,8000000
2011,San Jose Sharks,Thornton,8000000
2010,New York Rangers,Drury,8000000
2010,Montreal Canadiens,Gomez,8000000
2010,San Jose Sharks,Heatley,8000000
2010,Chicago Blackhawks,Keith,8000000
2010,Ottawa Senators,Spezza,8000000
2009,Philadelphia Flyers,Briere,8000000
2009,Montreal Canadiens,Gomez,8000000
2009,San Jose Sharks,Heatley,8000000
2009,New York Rangers,Redden,8000000
2009,Ottawa Senators,Spezza,8000000
2008,Philadelphia Flyers,Briere,8000000
2008,New York Rangers,Gomez,8000000
2008,New York Rangers,Redden,8000000
2008,Ottawa Senators,Spezza,8000000
2008,Philadelphia Flyers,Timonen,8000000
2008,Buffalo Sabres,Vanek,8000000
2007,Philadelphia Flyers,Timonen,8000000
2014,Chicago Blackhawks,Hossa,7900000
2014,New York Rangers,Nash,7900000
