Station	Latitude	Longitude	Line	Artist	Title	Date	Material	Description	Extra	artLink
103rd St	40.796092	-73.961454	6	Nitza Tufiño	Neo-Boriken	1990	Ceramic tiles in stairwells to platforms	Nitza Tufiño's ceramic tile murals grace the stairwell walls at the station.  The work was based upon her  research and interviews with neighborhood residentsYYY many of whom are of Latin American and Caribbean heritage.  The mural designs and imagery were also inspired by the petroglyphs of the Taïno IndiansYYY Puerto Rico's first inhabitantsYYY and by Mayan and Aztec motifs.  The work is meant to be a lively guide through the streets and subways of New York City and captures the energy and rhythms of the surrounding neighborhoods.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">Neo-Boriken</a>"
110th St	40.79502	-73.94425	6	Manuel Vega	Sábado en la Ciento Diez (Saturday on 110th Street)	1996	Ceramic mosaic on platform walls	Artist Manuel Vega's childhood memories are revealed in the station's artworkYYY a series of four mosaics panels.  The panels - {EarthYYY AirYYY FireYYY and Water} - capture the joyousYYY colorful atmosphere of {la ciento diez} in images that make the neighborhood come alive.  {Air} illustrates a typical summer-in-the-city diversion: children playing under the spray of a fire hydrant (a {piraguero} shaves a block of ice to make tropical fruit-flavored snow cones of guavaYYY papayaYYY mangoYYY and tamarindo.)  In {Earth}YYY a street vendor sells bananasYYY plantainsYYY papayasYYY avocadosYYY and coconuts.  {Shangó} - a deity from the Yoruba pantheon - embodies Harlem's West African roots in {Fire}YYY dancing to the beat of three bata drummers.  In {Water}YYY an elderly woman represents motherhood as she carries a bouquet of flowers and leads a child by the hand from a neighborhood botánica.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">Sábado en la Ciento Diez (Saturday on 110th Street)</a>"
111th St	40.695178	-73.84433	JYYYZ	Kathleen McCarthy	Five Points of Observation	1990-93	Wire-mesh sculpture in platform windscreens	{Five Points of Observation}YYY sited on the platform walls of five adjacent subway stations in Queens and BrooklynYYY  is composed of five colossal six-foot heads made of copper mesh positioned at different angles and inserted in specially cut openings in the windscreen walls that otherwise would block views from the platforms to the streets below.  Positioning themselves in the headsYYY subway riders can look out onto the world literally through the eyes of the sculptural forms.  The artist created faces both multiethnic and androgynousYYY leaving room for viewers to construct for themselves stories of who these haunting forms might be and what they might signify.  The faces are constructed with steel armatures and a grid of wire meshYYY which serves a protective as well as expressive function.  The positioning of the forms varies from station to stationYYY giving them further variety and expressiveness.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=J&station=1"">Five Points of Observation</a>"
116th St	40.805085	-73.954882	2YYY3	Vincent Smith	Minton's Playhouse (uptown)YYY The Movers and Shakers (downtown)	1999	Glass mosaic on platform walls	Vincent Smith's mosaic artwork showcases the nightlifeYYY cultureYYY and personalities from Harlem's heyday.  {The Movers and Shakers} portrays sixteen Harlem visionaries in front of the important places in their careers:  Edward ’Duke’ Ellington and Bill ’Bojangles’ Robinson at the Apollo TheaterYYY Langston Hughes before the National Black Theater; and Zora Neale Hurston and Alvin Ailey at the Studio Museum. NearbyYYY Paul RobesonYYY Marcus Garvey and a young Thurgood Marshall appear.  On the opposite wallYYY jazz pioneers are rendered as composite figures inspired by Smith's recollections of those who created the new sound.    His musicians energetically play their music against a background of yellowsYYY bluesYYY and greens that hint at Africa and the CaribbeanYYY inspiration for the rhythms and music that is jazz. The titleYYY {Minton's Playhouse} refers to a popular jazz club Smith frequented.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Minton's Playhouse (uptown)YYY The Movers and Shakers (downtown)</a>"
116th St	40.805085	-73.954882	6	Robert Blackburn	In Everything There Is A Season	2005	Glass mosaic on platform walls	Robert Blackburn's dynamic abstract patterns rendered in mosaic suggests the color and movement of the streets above that the artist shapes into beautiful artwork for the subway station.   A master printmakerYYY Blackburn was a founding member of the Printmaking Workshop in Harlem.  In 2001 MTA Arts for Transit commissioned Blackburn to create a work for the 116th Street  subway station in Harlem.  In failing healthYYY he chose artist Mei-Tei-Sing SmithYYY a Bearden Fellow at the Printmaking WorkshopYYY to assist him on what would prove to be his last major project.  Once completedYYY his maquettes were enlarged and manufactured into ceramic and glass mosaics.  Blackburn died in April 2003.	assisted by Mei-Tei-Sing Smith	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=6&station=1"">In Everything There Is A Season</a>"
116th St-Columbia University	40.805085	-73.954882	1	Michelle Greene	Railrider's Throne	1991	Steel chair on downtown platform	With this art workYYY an oversized and grand chair made of steelYYY artist Michelle Greene introduces humor into the station.  The chair's design echoes subway motifs and achieves the subway founders' design mission to make the subway a pleasant and hospitable place.   ’I wanted to create a whimsical environment that allows the commuter to feel special as opposed to alienatedYYY’ says the artist.  ’I believe that art in a public space has the potential to stir people from their daily routine.’  Rider comments show that the art succeeds in doing soYYY as transit users engage in conversation and interact with the chair while waiting on the platform.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Railrider's Throne</a>"
125th St	40.811109	-73.952343	2YYY3	Faith Ringgold	Flying Home: Harlem Heroes and Heroines (Downtown and Uptown)	1996	Glass mosaic on platform walls	{Flying Home} is a mosaic mural that honors Harlem notables and makes them fly.  The mural on one platform depicts performersYYY paintersYYY and sports figures like Dinah WashingtonYYY Sugar Ray RobinsonYYY and Josephine Baker.  The opposite platform shows leaders like Malcolm X and writer Zora Neale HurstonYYY brought to life in mosaics that recall the cultural zenith of Harlem.  The title is based on a Lionel Hampton song which Faith Ringgold heard as a child.  The artist sought  to capture its spirit in this workYYY which she expressed by posing the figures as if they were in flight.  ’I love every one of these peopleYYY’ Ringgold saysYYY ’I wanted to share those memoriesYYY to give the community - and others just passing through - a glimpse of all the wonderful people who were part of Harlem.  I wanted them to realize what Harlem has produced and inspired.’	assisted by Tim Tait Designs	"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Flying Home: Harlem Heroes and Heroines (Downtown and Uptown)</a>"
125th St	40.811109	-73.952343	4YYY5YYY6	Houston Conwill	The Open Secret	1986	Bronze reliefs on mezzanine walls	{The Open Secret}YYY a series of bronze reliefs mounted on the mezzanine levelYYY was the first Arts for Transit commissioned work in the subwayYYY and it presents many of artist Houston Conwill's longstanding thematic concerns: communityYYY historyYYY and the creation of sacred spaces as each relates to the African American experience and quest for equality. {The Open Secret} holds mysteriesYYY and viewers can look inside at the objects within.  Two triangular sections serve as a time capsule of life in Harlem in the 1980s.  ’The exploration might be of a place or into our own minds where we find eternal secrets that are saved and put in the time capsules for our children and their childrenYYY’ Conwill says.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">The Open Secret</a>"
125th St	40.811109	-73.952343	4YYY5YYY6	Valerie Maynard	Polyrhythmics of Consciousness and Light	2003	Glass mosaic on mezzanine walls and above stairs	Valerie Maynard's {Polyrhythmics of Consciousness and Light} was commissioned as part of a phase of renovation of the station that followed earlier work and the installation of {Open Secret }by Houston Conwill.  Maynard's work consists of glass mosaic murals along mezzanine and stairway walls that bring layers of pattern and color to an abstracted geometric field. Against the backgrounds are figural representations of musicians and others in joyful postures.  Maynard's imagesYYY in her wordsYYY ’capture the boundless energyYYY the beacon of light that was and is our own homegrown Mecca: the Harlem of our dreamsYYY our imaginings and our reality.  Maynard dedicates the work above the stairwells to artistsYYY in recognition of their ’flights of creativity.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=4&station=1"">Polyrhythmics of Consciousness and Light</a>"
135th St	40.817894	-73.947649	2YYY3	Willie Birch	Harlem Timeline	1995	Glass mosaic on platform walls	{Harlem Timeline} serves as a tribute to Harlem luminaries.  In this expansive mosaic muralYYY they are seen mingling with neighborhood residents.  On the downtown platformYYY we see Reverend Adam Clayton Powell Jr.YYY Langston HughesYYY Joe LouisYYY and Charlie Parker in action.  The blues - both the musical form and the color - are represented on the uptown sideYYY with Billie HolidayYYY bathed in indigo.  ElsewhereYYY Malcolm XYYY Marcus GarveyYYY Paul RobesonYYY John ColtraneYYY and Thelonious Monk express themselvesYYY rejoining the community where the Harlem Renaissance all began.  Some of the visual references that Birch weaves into the work are African-American quiltsYYY textile designs of Mexico and AfricaYYY and visionary folk art.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=2&station=1"">Harlem Timeline</a>"
137th St-City College	40.822008	-73.953676	1	Steve Wood	Fossils	1988	Bronze relief on platform walls	Steve Wood's artwork consists of 160 eight-by-eight-inch bronze relief tiles (80 on the uptown platform and 80 on the downtown side) that have been placed within the platform walls of the station.  The tiles portray the fossilized remains of a variety of biological life forms.  The artist's intent was to bring to the surfaceYYY in a subterranean public spaceYYY an exploration of the nature of what is found undergroundYYY usually through excavation.  In his wordsYYY ’The idea behind {Fossils} is simple: the subway is undergroundYYY fossils are found in the earth...I wanted these reliefs to be 'scattered' over the walls of the northbound and southbound platforms in such a way that both children and adults would see them personally and close-up. They are meant to be looked atYYY touchedYYY talked aboutYYY and remembered.’		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=1&station=1"">Fossils</a>"
14th St -Eighth Avenue	40.822008	-73.953676	AYYYCYYYEYYYL	Tom Otterness	Life Underground	2001	Bronze sculpture on railingsYYY beamsYYY and columns throughout station	The scores of figures created by Tom Otterness to {Life Underground} invigorate and transform the transit environment into a place of joy and whimsy.  *His small-scale sculptures invoke the subway and lore of the city and include an alligator rising out of a sewer to devour a manYYY workers carrying oversize versions of the tools used to build the subwaysYYY and people sneaking under fences to watch the construction or sweep up piles of pennies.  There are also colossal feet and a totem-like sculpture whose human features are formed into the shape of a telephone.  *Otterness placed his creations in unexpected places-beneath stairs and pillarsYYY hanging from the ceilingYYY and on benches and railings-to surprise and delight riders as they come upon these humorous and captivating inhabitants.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Life Underground</a>"
14th St-Eighth Avenue	40.738228	-73.996209	AYYYCYYYEYYYL	Tom Otterness	Life Underground	2001	Bronze sculpture on railingsYYY beamsYYY and columns throughout station	The scores of figures created by Tom Otterness to {Life Underground} invigorate and transform the transit environment into a place of joy and whimsy.  *His small-scale sculptures invoke the subway and lore of the city and include an alligator rising out of a sewer to devour a manYYY workers carrying oversize versions of the tools used to build the subwaysYYY and people sneaking under fences to watch the construction or sweep up piles of pennies.  There are also colossal feet and a totem-like sculpture whose human features are formed into the shape of a telephone.  *Otterness placed his creations in unexpected places-beneath stairs and pillarsYYY hanging from the ceilingYYY and on benches and railings-to surprise and delight riders as they come upon these humorous and captivating inhabitants.		"<a href=""http://web.mta.info/mta/aft/permanentart/permart.html?agency=nyct&line=A&station=1"">Life Underground</a>"
